0.283666667,0,0.325666667,0.257,0.267,-1,kasisilang|bata|ipinamigay|ina,newborn|young|gave|mom
0.892,0,0,0.866666667,0.879333333,-1,malinaw|dahilan|nguni|mapaghihinuha|ina|dalagang|ina,clear|reason|but|mapaghihinuha|mom|young woman|mom
-0.437,-0.3555,0.452,0,-0.146,-1,anak|pagkakasala,children|offense
0.014666667,0,-0.266666667,0.313,0.317666667,-1,magkaroon|sanggol|aaruga|matanda,have|baby|care|old
0.607666667,-0.293333333,0,0.612666667,0.914333333,-1,mababatid|balita|pagkakatagpo|sanggol|iniiwan|basurahan|patay|dahilan|puso|ina,know|news|conviction|baby|leaving|trash|dead|reason|heart|mom
-0.41,0,0,-0.475,-0.445,-1,nguni|alanganin,but|awkward
0.874666667,-0.263333333,0.27,0.886,0.859,-1,nagtapat|nagpalaki|kahi|tunay|anak|kahi|nagkulang|aalaga|pagmamahal|pagiging|ulila|iiwan|puwang|puso|humihingi|kapunuan,confess|expands|even|real|children|even|failed|care|love|being|orphan|leave|space|heart|asking|fullness
0.922333333,0.654333333,0,0.304666667,0.940333333,-1,mabuti|pagtatapat|mangyari|naiiwasan|hapdi|puso|inampon|dulot|kaalaman|ipinamigay|minahal|tunay|magulang,good|confession|happen|preventable|the site|heart|adopted|caused|knowledge|gave|loved|real|parents
0.641333333,0.879333333,0,0.611333333,0.917333333,-1,nangyayari|paghahanap|tunay|magulang|kalimitan|nagkakaroon|katuparan,happening|search|real|parents|in general|having|fulfillment
0.315666667,0.068333333,-0.026666667,0.382666667,0.330666667,-1,ninais|paolo|tunay|ina,wanted|paolo|real|mom
0.333333333,-0.170666667,-0.03,0.087333333,0.324666667,-1,kaso|fermin|burado|nakalipas,case|fermin|erased|ago
0.0535,0.0345,-0.0605,0.01,-0.014,-1,nagkamali|ospital,made a mistake|hospital
0.891333333,0.311666667,0,0.636666667,0.928333333,-1,katotohanan|nakaligtaan|paolo|lara|pagtatala|kapanganakan|fermin|kinauukulang|sangay|gobyerno,truth|missed|paolo|pi|recording|birth|fermin|directly|branch|the government
0.258666667,-0.001666667,0,0.535333333,0.866666667,-1,nakadalaw|fermin|berting|araw|nalagutan|hininga|edad|tsuper,did|fermin|berting|day|nalagutan|breath|age|taxi
0.617333333,0.866333333,0,0,0.897666667,-1,dahilan|kasaysayang|ipinagtapat|tsuper|apoy|damdamin|fermin,reason|history|professed|taxi|fire|feelings|fermin
