Kasisilang pa lamang ng bata nang ipinamigay na ng ina,-1
Hindi malinaw ang dahilan nguni’t mapaghihinuha na ang ina ay isang dalagang ina,-1
Ibig niyang ilihim ang pagkakaroon ng anak sa pagkakasala,-1
Hindi niya kailangang magkaroon pa ng isang sanggol na mangangailangan ng kanyang pag-aaruga sa panahon na siya ay matanda na,-1
Mababatid sa mga balita ang pagkakatagpo sa mga sanggol na iniiwan sa basurahan at natatagpuang patay na dahilan sa kawalang-puso ng mga ina,-1
Nguni’t si Lara ay alanganin,-1
Kahi’t na nagtapat ang mga nagpalaki sa kanila kahi’t na sila ay pinalaki na parang tunay na anak kahi’t na sila ay hindi nagkulang sa pag-aalaga at pagmamahal ang pagiging ulila ay nag-iiwan ng puwang sa kanilang puso na humihingi ng kapunuan,-1
Mabuti ito kaysa sa pagtatapat mangyari ay naiiwasan ang hapdi sa puso ng inampon dulot ng kaalaman na siya ay ipinamigay hindi minahal ng tunay na magulang,-1
Hindi rin nangyayari ang paghahanap sa tunay na magulang na sa kalimitan subukan man ay hindi nagkakaroon ng katuparan,-1
Sa simula pa ay hindi rin ninais ni Paolo na kilalanin o kausapin ang tunay na ina,-1
Sa kaso ni Fermin burado ang kanyang nakalipas,-1
Marahil ay nagkamali ang ospital,-1
Sa katotohanan ay sadyang nakaligtaan nina Paolo at Lara ang pagtatala ng kapanganakan ni Fermin sa kinauukulang sangay ng gobyerno,-1
Nakadalaw si Fermin kay Mang Berting ilang araw bago nalagutan ng hininga ang may-edad na tsuper,-1
Dahilan sa kasaysayang ipinagtapat ng tsuper nag-apoy ang damdamin ni Fermin,-1
Tila siya naging isang ligaw sa kapiligirang kilalala niya,-1
Tila siya naging ulila sa kapiligiran ng mga nagmamahal na kamag-anak at kaibigan,-1
Ninais niyang mapag-isa,-1
Iniwan ang tahanan nina Paolo at Lara na hindi nagpaalam,-1
Lumipas ang dalawampung taon ni minsan ay di na siya nakipag-usap o nakipagkita sa mga magulang at kapatid,-1
Tumigil sila sa paghahanap at pagsubok na makausap pang muli si Fermin,-1
Dahilan sa naging sadyang matigas ang puso ni Fermin nagpasiya sina Paolo at Lara na pabayaan na si Fermin na matamo ang kanyang hinahanap na pag-iisa kalayaan at paghihimagsik,-1
Nguni’t di ba isa ring malaking pagkakamali na sisihin at gantihan ng galit at poot ang mga taong nag-aruga nagmahal sa isang ampon,-1
Mahirap ka ba at hindi mo kayang ako ay buhayin,-1
Nahihiya ka ba na maging dalagang-ina,-1
Ikaw ba'y naging biktima ng panghahalay,-1
May taning ba ang buhay mo at ayaw mo na ako ay maiwang nag-iisa sa mundo,-1
Ang mga palaisipan at mabibigat na damdamin na dulot ng pagiging ampon ay nakatimo sa puso sa araw-araw na ginawa ng Diyos,-1
Kung minsan ay sinisisi pa ang Diyos,-1
Sa puso ay nakadama siya ng kirot na tila biglang ibinaon ng isang ligaw na balaraw,-1
Ang kirot sa kanyang puso ay kinailangang malunasan kaagad-agad,-1
Kirot ito dulot ng pagkakawalay sa mga minamahal at ng pagsisisi,-1
Natagpuan siya ni Fermin na nasa ospital na may malubhang sakit,-1
Anak nabibilang na ang araw ng iyong ama,-1
Wala siyang malay halos,-1
Di siya makapagsalita ani Lara,-1
Ni isa sa kanila ay hindi maaaring magbigay ng kidney kay Paolo,-1
Kung walang makukuha na kidney mula sa naaangkop na donor ay tiyak na mamamatay si Paolo,-1
Lintik ka talaga no,-1
Ayoko ng makipag-away,-1
E gaga ka pala e,-1
Isang simpleng may bahay na nagtitiis sa kalive-in n'yang si Nestor,-1
Nasa iisang bahay lang kami pero ni minsan di ako kinakausap o pinapansin ni Kuya Nestor pero 'di ko s'ya masisisi,-1
Kunin mo nalang dami mo pang tanong,-1
Naging balisa si Biel dahil sa nakita,-1
Alam n'yang delikado ang bagay na 'yon lalo pa't hindi ito lisensyado,-1
Hindi pa nakatatayo si Ate pumasok na ang lalaki na may suot na sumbrero at maong na jacket sabay sakal kay Ate Biel,-1
Sobrang naawa ako kay Ate,-1
Kinagat n'ya ang kamay ng lalaki at sabay pasok sa kwarto at inilock ito,-1
Pilit pinapasok ng lalaki ang kwarto,-1
Di ko na talaga alam ang gagawin ko,-1
Wala akong magawa,-1
Hindi ako aalis hangga't di ako nakakaganti kay Nestor,-1
Pinatay n'ya ang anak ko,-1
Gago s'ya,-1
Kinuha ng lalaki ang patalim sa may bewang n'ya at itinutok sa leeg ni Ate,-1
Ayoko ng nangyayari,-1
Narinig ko nalang ang pagmamakaawa ni Ate,-1
Parang awa mo na WALA AKONG KASALANAN,-1
WALA AKONG KINALAMAN,-1
sigaw ni Ate,-1
Sandali lang to wag ka ng pakipot,-1
ika ng lalaki at inikot ng dila n'ya ang paligid ng kanyang labi,-1
TAMA NAAAA,-1
PARANG AWA MO NA,-1
pagmamakaawa ni Ate Biel,-1
BANGG,-1
Nakita ko ang dugong tumutulo mula sa may ulo n'ya,-1
Di ko makakalimutan ang itsurang pumatay kay Ate Biel,-1
Gusto kong gumanti,-1
Gusto kong gumanti,-1
Bakit mayroong naghihirap nagkakasakit nagdadalamhati,-1
Hindi maaari na ang saging ay magkaroon ng mantsa o batik o di kaya ay madaling manglambot o mabulok,-1
Sa kabilang dako ay tagapag-dala ito ng suliranin at hilahil,-1
Taon-taon ay malaking bilang ng mga mangagawa at maging ng mga kamag-anakan nila ang nagkakasakit ng sakit na hindi maintindihan kung ano na ikinamamatay nila,-1
Mayroong nagkakasakit sa baga sa atay sa tiyan o nagkakasugat na di gumagaling,-1
May hinuha si Don Ricardo na ang mga misteryosong pagkakasakit at pagkamatay ng mga tao ay resulta ng paggamit ng chemicals sa sagingan,-1
Nguni’t hindi niya ito maaaring tiyakin o aminin sapagka’t ang negosyo ay hihina o titigil,-1
Samantala ang mga lider ng mga manggagawa ay nababahala sa mga nangyayaring lagim at kalungkutan,-1
Galit si Don Ricardo sa mga nagaganap na panggugulo ng mga manggagawa,-1
Sa kanyang paningin ay di makatarungan na siya ang masisi sa pagkakasakit at pagkamatay ng mga tao,-1
Sa kanyang pandamdam ang mga naghahasik ng gulo ay ibig lamang na magkakuwarta o mapalaganap ang unionismo o komunismo sa naturang pulo,-1
At siya ang inaasinta sapagka’t siya ang may salapi,-1
Mga walang utang-na-loob,-1
Matapos mong bigyan ng hanapbuhay at turingin nang maayos ito pa ang isusukli sa iyo,-1
Nakalulungkot na may kasaganaan nga sana dahil mayaman ang lupa,-1
Ang mayayaman ay nagpapasasa sa karangyaan samantalang ang marami ay kayod nang kayod sa trabaho nguni’t kapos pa rin sa mga pangangailangan sa buhay at nagkakasakit dahil sila’y nakalantad sa panganib,-1
Hindi lumabas si Don Ricardo upang harapin ang mga nag-i-strike,-1
Ang hepe ng kanyang security ang humarap sa kanila na may pagbabanta – Magsi-uwi na kayo at nang maibalik ang katahimikan,-1
Kung hindi ang kapalit ng inyong katigasan ng ulo ay pagkawala ng inyong trabaho,-1
Nagmatigas ang mga manggagawa,-1
May isang binatilyo pa nga na naghagis ng bato sa naturang bahay at natamaan nito ang isang malaking salamin na ikinabasag nito,-1
Nang kaumagahan ay natagpuan si Tandang Berong isa sa mga lider ng mga manggagawa na nakasubsob ang mukha sa sapa at wala nang buhay,-1
Nagkaroon ng kaba ang mga taga-pulo,-1
At nang wala nang mapahamak pa ay tila sila mga tupa na nagsipagbalikan sa kanilang mga trabaho sa sagingan,-1
Napapaiyak si Aurelia sa tuwing maiisip ang nangyayaring sigalot sa kanyang bayan,-1
Si Aling Mona na asawa niya ay isang taon nang patay – biktima ng isang mahiwagang sakit,-1
Marupok ang kanyang puso,-1
Madali siyang magdamdam at mababaw ang luha,-1
Pansamantala ay walang magawa si Aurelia kundi ang magtiis sa pangungulila at ang lumuha kapag nalulungkot,-1
Ipinagdaramdam niya nang matindi ang pagkawala ng ina na nagdanas ng hirap bago namatay,-1
Wala siyang magawa kundi ipalaman sa liham niya kay Nino ang kanyang mga hinanakit datapuwa’t madalang at mabagal ang paglalakbay ng sulat mula Bellamonte hanggang sa Maynila,-1
Isinalaysay sa hukuman ng abogado ng mga nagtatanim ng saging na ang pataniman ay gumagamit ng libong tonelada ng chemical,-1
Ang chemical ay ginagamit – isinasabog sa hangin sa pamamagitan ng mga sprayers - upang ang saging ay hindi dapuan ng mga peste na mag-iiwan ng mantsa o batik sa balat,-1
Malinaw na walang damdamin si Don Ricardo para sa mga manggagawa at kamag-anakan nila,-1
Salapi lamang at tubo ang kaisa-isang hangarin niya sa buhay,-1
Walang halaga sa kanya ang magkasakit at mamatay ang kanyang kapuwa maitaguyod lamang ang kanyang pagpapayaman,-1
Si Don Ricardo ay may pananagutan sa mga napinsala at dapat na magbayad siya ng naaangkop na halaga upang maibsan ang pinsala at hinanakit ng mga nabiktima ng kanyang kasakiman,-1
Hindi sila nagsusuot ng guwantes at ng naangkop na kasuotan habang gumagamit ng chemical,-1
Ang pangarap ko ay di pala matutupad,-1
Sagot ni Nino Ikinalulungkot ko po Don Ricardo,-1
May masamang hangin po sa inyong hacienda at ang lason ay nasa lupa na at sa tubig na iniinom ng mga mamamayan,-1
Ito po’y ikinamatay na ng maraming kanayon at kamag-anakan natin pati na ng ina ng aking pinakamamahal sa buhay,-1
Tayo pong lahat ay malalason pati kayo Don Ricardo,-1
Una-una po lamang ang pagdapo ng sakit sa atin tiyak pong tayong lahat ay mamamatay,-1
Nino ang katulad mo ay isang ahas na tumutuklaw sa kamay na nagpapakain sa kanya,-1
Bago pa kami ikinasal ng kanyang anak na panganay ay binawian na siya ng buhay sanhi ng sakit na diabetes,-1
Samakatuwid ay hindi ko lubos na nakilala si Justina Quiray,-1
Ang aking kabiyak mismo ay hindi alam na ang kanyang ina ay isang bayaning hindi pinarangalan,-1
Nilusob ng bansang Hapon ang Amerika sa paraang pataksil nang ang mga pilotong kamikaze nito ay pinuntirya at binagsakan ng bomba ang mga bapor-militar ng Amerikano na noon ay nakatigil sa Look ng Pearl Harbor sa Hawaii Disyembre 7 1941,-1
Sa dahilang ang Pilipinas noon ay nasa ilalim ng pamamahala ng Amerika inatake din ng mga Hapon ang Pilipinas ilang oras lamang pagkalipas ng pag-atake sa Pearl Harbor,-1
Ang pagtataksil na ito ng Hapon ay siyang naglunsad sa Pangalawang Digmaang Pandaigdig,-1
Ang masasabing matayog nguni’t di makatuwirang mithiin ay ang pagsakop sa buong Asya kabilang na angPilipinas at ang pagpapairal sa pamamaraang-Hapon,-1
Sa maraming pook na sinakop ng mga Hapon naging malulupit at walang paggalang sa kapuwa ang mga pinuno at ang mga dayong sundalo,-1
